player,pos,team,direction,rank_gap,value_rank,adp_rank,adp,tier,vorp,proj_pts,exp_games,rookie_flag,proj_source
Josh Jacobs,RB,GBP,model_fade,-197,233,36,37.2,10,-160.1909428676737,0.0,14.0,false,blend
Ollie Gordon II,RB,MIA,model_fade,-181,231,50,52.0,9,-115.06312902696953,45.12781384070416,15.0,false,blend
Bhayshul Tuten,RB,JAC,model_fade,-138,199,61,62.6,7,-46.80648538068337,113.38445748699033,14.0,false,blend
Brian Robinson Jr.,RB,ATL,model_fade,-104,224,120,118.1,7,-72.35124047312621,87.83970239454749,14.0,false,blend
Blake Corum,RB,LAR,model_fade,-100,197,97,99.8,7,-46.05859048246222,114.13235238521148,14.5,false,blend
Chuba Hubbard,RB,CAR,model_fade,-99,184,85,90.2,7,-35.470323964111685,124.72061890356201,14.666666666666666,false,blend
MarShawn Lloyd,RB,GBP,model_fade,-93,217,124,120.8,7,-56.700033580435445,103.49090928723825,16.0,true,market_implied
Jordan Mason,RB,MIN,model_fade,-92,204,112,113.5,7,-48.82506070400571,111.36588216366799,12.0,false,blend
David Njoku,TE,LAC,model_fade,-92,221,129,123.2,4,-65.60291738850617,56.63909401009321,12.0,false,blend
James Conner,RB,ARI,model_fade,-89,230,141,125.1,9,-114.89271658393227,45.298226283741435,12.0,false,blend
Jordyn Tyson,WR,NOS,model_fade,-88,182,94,98.7,4,-34.90898304752551,107.22631846339911,16.0,true,market_implied
Cooper Kupp,WR,SEA,model_fade,-86,208,122,120.2,4,-51.75080007016342,90.3845014407612,12.333333333333334,false,blend
Isiah Pacheco,RB,DET,model_fade,-86,228,142,125.2,8,-93.8629347889071,66.3280080787666,12.0,false,blend
Alvin Kamara,RB,NOS,model_fade,-83,229,146,125.8,9,-109.35353948105073,50.83740338662297,12.0,false,blend
Isaac TeSlaa,WR,DET,model_fade,-82,215,133,124.1,4,-55.95101308316852,86.1842884277561,13.0,false,blend
Hunter Henry,TE,NEP,model_target,57,100,157,127.2,3,-2.3888429347179425,119.85316846388143,14.333333333333334,false,blend
Wan'Dale Robinson,WR,TEN,model_target,52,122,174,130.4,4,-10.600663861780276,131.53463764914434,15.0,false,blend
Dallas Goedert,TE,PHI,model_target,49,53,102,105.4,3,13.759998136884462,136.00200953548384,12.0,false,blend
Patrick Mahomes II,QB,KCC,model_target,43,56,99,102.5,1,12.815671461317265,286.4300434327372,14.333333333333334,false,blend
Dalton Schultz,TE,HOU,model_target,41,111,152,126.6,3,-6.260053204467852,115.98195819413152,15.333333333333334,false,blend
George Kittle,TE,SFO,model_target,39,40,79,83.6,3,19.794196621853786,142.03620802045316,13.0,false,blend
Kyle Pitts Sr.,TE,ATL,model_target,34,38,72,72.2,3,21.1038570434728,143.34586844207217,16.0,false,blend
Brenton Strange,TE,JAC,model_target,34,130,164,129.2,3,-14.61066811715311,107.63134328144626,12.0,false,blend
Trevor Lawrence,QB,JAC,model_target,32,48,80,83.8,1,15.67619375580756,289.2905657272275,13.333333333333334,false,blend
Travis Kelce,TE,KCC,model_target,28,60,88,94.1,3,10.865333669800037,133.1073450683994,15.0,false,blend
Jake Ferguson,TE,DAL,model_target,28,89,117,116.7,3,0.5459614229791896,122.78797282157856,15.0,false,blend
Juwan Johnson,TE,NOS,model_target,27,112,139,124.9,3,-6.75325294092724,115.48875845767213,14.0,false,blend
Harold Fannin Jr.,TE,CLE,model_target,26,45,71,70.9,3,16.368370772646415,138.6103821712458,15.0,false,blend
Jakobi Meyers,WR,JAC,model_target,25,147,172,130.1,4,-21.474071916516053,120.66122959440857,14.666666666666666,false,blend
Matthew Stafford,QB,LAR,model_target,23,73,96,99.7,1,6.569051377363621,280.18342334878355,15.0,false,blend
