player,pos,team,direction,rank_gap,value_rank,adp_rank,adp,tier,vorp,proj_pts,exp_games,rookie_flag,proj_source
Josh Jacobs,RB,GBP,model_fade,-197,233,36,37.2,10,-160.1909428676737,0.0,14.0,false,blend
Ollie Gordon II,RB,MIA,model_fade,-181,231,50,52.0,9,-115.06312902696953,45.12781384070416,15.0,false,blend
Bhayshul Tuten,RB,JAC,model_fade,-137,198,61,62.6,7,-46.80648538068337,113.38445748699033,14.0,false,blend
Luther Burden III,WR,CHI,model_fade,-122,180,58,58.7,2,-35.76433634675715,111.19522057348377,14.0,false,blend
Brian Robinson Jr.,RB,ATL,model_fade,-104,224,120,118.1,7,-72.35124047312621,87.83970239454749,14.0,false,blend
Blake Corum,RB,LAR,model_fade,-100,197,97,99.8,7,-46.05859048246222,114.13235238521148,14.5,false,blend
Chuba Hubbard,RB,CAR,model_fade,-94,179,85,90.2,7,-35.470323964111685,124.72061890356201,14.666666666666666,false,blend
Jordyn Tyson,WR,NOS,model_fade,-94,188,94,98.7,2,-39.733238456841804,107.22631846339911,16.0,true,market_implied
David Njoku,TE,LAC,model_fade,-89,218,129,123.2,4,-65.60291738850617,56.63909401009321,12.0,false,blend
Isaac TeSlaa,WR,DET,model_fade,-89,222,133,124.1,2,-69.24932754555503,77.71022937468588,13.0,false,blend
James Conner,RB,ARI,model_fade,-89,230,141,125.1,9,-114.89271658393227,45.298226283741435,12.0,false,blend
Jordan Mason,RB,MIN,model_fade,-88,200,112,113.5,7,-48.82506070400571,111.36588216366799,12.0,false,blend
MarShawn Lloyd,RB,GBP,model_fade,-87,211,124,120.8,7,-56.700033580435445,103.49090928723825,16.0,true,market_implied
Isiah Pacheco,RB,DET,model_fade,-86,228,142,125.2,8,-93.8629347889071,66.3280080787666,12.0,false,blend
Cooper Kupp,WR,SEA,model_fade,-84,206,122,120.2,2,-53.67953648650099,93.28002043373992,12.333333333333334,false,blend
Wan'Dale Robinson,WR,TEN,model_target,58,116,174,130.4,2,-7.663747856199507,139.2958090640414,15.0,false,blend
Hunter Henry,TE,NEP,model_target,57,100,157,127.2,3,-2.3888429347179425,119.85316846388143,14.333333333333334,false,blend
Dallas Goedert,TE,PHI,model_target,51,51,102,105.4,3,13.759998136884462,136.00200953548384,12.0,false,blend
Patrick Mahomes II,QB,KCC,model_target,46,53,99,102.5,1,12.815671461317265,286.4300434327372,14.333333333333334,false,blend
George Kittle,TE,SFO,model_target,40,39,79,83.6,3,19.794196621853786,142.03620802045316,13.0,false,blend
Dalton Schultz,TE,HOU,model_target,40,112,152,126.6,3,-6.260053204467852,115.98195819413152,15.333333333333334,false,blend
Jakobi Meyers,WR,JAC,model_target,37,135,172,130.1,2,-17.026358618847553,129.93319830139336,14.666666666666666,false,blend
Kyle Pitts Sr.,TE,ATL,model_target,35,37,72,72.2,3,21.1038570434728,143.34586844207217,16.0,false,blend
Brenton Strange,TE,JAC,model_target,35,129,164,129.2,3,-14.61066811715311,107.63134328144626,12.0,false,blend
Trevor Lawrence,QB,JAC,model_target,32,48,80,83.8,1,15.67619375580756,289.2905657272275,13.333333333333334,false,blend
Davante Adams,WR,LAR,model_target,31,26,57,56.5,2,35.38370069548884,182.34325761572975,14.0,false,blend
Travis Kelce,TE,KCC,model_target,30,58,88,94.1,3,10.865333669800037,133.1073450683994,15.0,false,blend
Jake Ferguson,TE,DAL,model_target,29,88,117,116.7,3,0.5459614229791896,122.78797282157856,15.0,false,blend
Harold Fannin Jr.,TE,CLE,model_target,26,45,71,70.9,3,16.368370772646415,138.6103821712458,15.0,false,blend
Matthew Stafford,QB,LAR,model_target,25,71,96,99.7,1,6.569051377363621,280.18342334878355,15.0,false,blend
